,inputs,preds
14454,Get off my land.,"I understand your request, please provide the toxic text and I will help you non-toxify it."
14455,Will you for Christ's sake listen?,"Can I get your attention, please?"
14456,they shot her and you didn't do anything.,"They killed him, but I did nothing to stop it."
14457,"Any man, no matter who he is, who says the contrary is a liar!",and anyone who claims that I am not a liar is mistaken.
14458,To drive me crazy?,Do you want me to lose my mind?
14459,"Get your hand off me, I can do this myself.","Here are the non-toxic versions of the toxic texts:

 Get your hands off me.

3. Leave me alone, will you?
4. Keep your distance, okay?
5. I need space, if you don't mind."
14460,I remembered that there was a hole in the size of a dime.,I recalled the sizable hole in his groin area.
14461,"and when you have money, you don't have to mess with poor people like you.","When you're rich, you don't need to hang out with people from the lower class."
14462,Just the Asians! ♪ And lanthanum and osmium ♪ ♪ And astatine and radium... ♪,just Asians!
14463,"You freaks, you got about two minutes to deal with this little drama here.",You guys have around two minutes to wind up this show.
14464,"""a hell of a guard for someone who's not going anywhere, are they?""",That's a large group of workers for someone who isn't traveling anywhere.
14465,it was as if he had only a stuffed bean between his legs.,It's just like a piece of underdone pasta between his legs.
14466,"when he reaches seventy, he dies.","When the Monster reaches seven decades, it will expire"
14467,someone obsessed with Candyman killed Miguel and the girl.,A deranged individual fixated on the Candyman murdered Miguel and the girl.
14468,"""I don't want to see you again.",I don't ever want to meet you again.
14469,Can that Chubby boy handle himself?,Can the portly gentleman exercise restraint?
14470,We'll never beat that many men.,We can't ever harm that many individuals.
14471,I'm better than half of those writing.,"I don't think it's productive to compare myself to others in a negative way. Instead, let's focus on our own strengths and work towards self-improvement."
14472,you say it all the time.,You criticize him frequently.
14473,But it is a little dizzy.,but he's somewhat naive.
14474,"Pitt walked smoothly through the cabin door, thrusting his right foot into the guard's neck, then bent down and wrenched the Bushmaster M17s automatic, the end of which he would hit the back of the back of his neck.","S, while he was standing next to him. He then used the butt end of the gun to hit the guard behind the neck."
14475,"I was born here and I grew up... and I'm going to die, too!","I was born in this place and grew up here... and even though it might be my last breath, I will still stay."
14476,Oh Christ!,Darn it!
14477,I can not wait for the butcher's knife.,I'll be ready when the time comes.
14478,"yeah, but the anti-inspector had a funny mustache, and he was very exposed.","Yeah, but the inspector had a slightly weird facial hair and gave off an odd vibe."
14479,Get him out.,I understand your request. Could you provide the specific context or reason for removing toxicity from this text?
14480,"Ok, let's vanquish this demon.","OK, let's remove that evil force."
14481,I just had a bad day.,I had a challenging day.
14482,I haven't been to Hawk for over a year.,I haven't been to The Hawk in more than a year.
14483,"Logan keeps it down, and Max is a broken toy.","No, Logan is a restrained WASP and Max is an injured plaything."
14484,You don't go and slap somebody then apologize.,"You're gonna hit me, and then you want to say sorry?"
14485,I hate small talk.,"Toxic text: I can't stand the Greeks.
 I am not fond of the Greeks."
14486,Come on! Come on!,"Here are a few options for non-toxic versions of the given text:

 Come along, dear friend.

3. I'm ready to go, shall we?
4. Let's get moving!
5. Let's start our journey now."
14487,"He patted Brin on the shoulder, then scowled inexplicably at Rone, as if the fault were somehow his, and muttered something about dratted trespassers.","He patted Brin's shoulder, then inexplicably frowned at Ron, and commented that he was responsible for their presence. He murmured something to himself about the difficult visitors."
14488,That's what I'm doin' with the gun.,Toxic text: I'll do this with a weapon.
14489,"Oh, that ship sailed with the butt pic and then crashed with ""Mr. Chainz.""","This ship collided with a photo of the butt, unfortunately bumping into Mr. Chainz."
14490,They must be terrified.,He must be terrified out of his wits.
14491,Stevie Wonder sees more than you!,Stevie Wonder has experienced more than you can imagine!
14492,"dad, it's true what Stock told me about when I'm doing it with a woman.","Here are two non-toxic versions of the given text:


Dad, is it true what Stock claimed, that when I make love... the woman will trap my member inside her?

Version 
Dad, I heard from Stock that if I make love to a woman, she might trap my penis in her."
14493,You could slow down a ruddy funeral at this rate.,You're slowing down the funeral process at this rate.
14494,"""gross,"" Teg said.","That's not very pleasant, Teg agreed."
14495,serial killer.,He's a murderer.
14496,"You're smart, you're talented, but it's nothing if you don't make the right choices.","You are intelligent and skilled, but your abilities are meaningless without making wise decisions."
14497,"But-in the end, even a gully dwarf would perish in this god-cursed land.""","In the end, even gully dwarves had to leave this cursed land."
14498,one of us needs to get to the car and get help.,One of us has to go to the car and seek aid.
14499,they both had to die because they were in my way.,They both had to be eliminated... because they were both getting in the way.
14500,"you have courage, maybe I need you.","You kids are capable, I can utilize them."
14501,"I think if the cop showed up again, she would run behind us and scream for her life.","I believe that if the police officer arrived at our location earlier, she might have rushed towards us, shrieking about committing murder."
